Time,TotalPrivateBytes,TimeWorkingSet
15:09:53,1786667008,3890790400
15:09:58,1781493760,3883773952
15:10:03,1781235712,3883773952
15:10:08,1782353920,3884015616
15:10:13,1780453376,3886678016
15:10:18,1781952512,3886948352
15:10:23,1788223488,3902799872
15:10:28,1802780672,3945299968
15:10:33,1799630848,3910053888
15:10:38,1786216448,3891216384
15:10:43,1787666432,3891904512
15:10:48,1785688064,3891384320
15:10:53,1787912192,3892850688
15:10:58,1786646528,3891625984
15:11:03,1784827904,3891179520
15:11:08,1783582720,3890257920
15:11:13,1783947264,3890634752
15:11:18,1783468032,3885629440
15:11:23,1782091776,3884224512
15:11:28,1780400128,3873423360
15:11:33,1779752960,3871809536
15:11:38,1781878784,3872649216
15:11:43,1780338688,3871784960
15:11:48,1781080064,3872391168
15:11:53,1780355072,3872182272
15:11:58,1778319360,3870117888
15:12:03,1776353280,3859193856
15:12:08,1774227456,3857035264
15:12:13,1773666304,3856773120
15:12:18,1772367872,3856289792
15:12:23,1766092800,3842977792
15:12:28,1757712384,3826409472
15:12:33,1758113792,3826741248
15:12:38,1758633984,3826102272
15:12:43,1754812416,3803750400
15:12:48,1754873856,3803992064
15:12:53,1753763840,3802390528
15:12:58,1754746880,3803078656
15:13:03,1754480640,3802738688
15:13:08,1754443776,3802447872
15:13:13,1753460736,3801714688
15:13:18,1753853952,3796832256
15:13:23,1745866752,3771985920
15:13:28,1741647872,3763064832
15:13:33,1741606912,3762798592
15:13:38,1740173312,3764228096
15:13:43,1739931648,3763994624
15:13:48,1740734464,3764523008
15:13:53,1739030528,3762774016
15:13:58,1739071488,3763118080
15:14:03,1739059200,3763421184
15:14:08,1739931648,3763326976
15:14:13,1739665408,3763089408
15:14:18,1739653120,3760009216
15:14:23,1761476608,3819606016
15:14:28,1833676800,3990769664
15:14:33,1858662400,4012269568
15:14:38,1840652288,4006109184
15:14:43,1834123264,3979640832
15:14:48,1838784512,3995901952
15:14:53,1832665088,3968651264
15:14:58,1832742912,3968790528
15:15:03,1834291200,3968225280
15:15:08,1833889792,3964030976
15:15:13,1843621888,3976294400
15:15:18,1843736576,3770097664
15:15:23,1853218816,3856539648
15:15:28,1837731840,3839922176
15:15:33,1836941312,3838660608
15:15:38,1835851776,3838423040
15:15:43,1836064768,3836067840
15:15:48,1835966464,3836293120
15:15:53,1833996288,3836252160
15:15:58,1835044864,3836702720
15:16:03,1834835968,3837485056
15:16:08,1837486080,3843416064
15:16:13,1839026176,3841110016
15:16:18,1835290624,3832938496
15:16:23,1829441536,3828039680
15:16:28,1813225472,3821223936
15:16:33,1820696576,3837747200
15:16:38,1815543808,3834732544
15:16:43,1814876160,3836518400
15:16:48,1830535168,3827474432
15:16:53,1830191104,3829092352
15:16:58,1830731776,3831218176
15:17:03,1831567360,3833786368
15:17:08,1831890944,3836051456
15:17:13,1832259584,3837566976
15:17:18,1830440960,3838627840
15:17:23,1859477504,3862958080
15:17:28,1832792064,3838509056
15:17:33,1824055296,3813453824
15:17:38,1824174080,3805749248
15:17:43,1822683136,3804696576
15:17:48,1823965184,3806044160
15:17:53,1822863360,3805732864
15:17:58,1823145984,3805274112
15:18:03,1822285824,3805814784
15:18:08,1823158272,3813343232
15:18:13,1816559616,3806642176
15:18:18,1817989120,3802451968
15:18:23,1812295680,3798585344
15:18:28,1805365248,3774271488
15:18:33,1784840192,3755388928
15:18:38,1784504320,3754606592
15:18:43,1784700928,3755773952
15:18:48,1783885824,3755282432
15:18:53,1783545856,3755720704
15:18:58,1783541760,3754926080
15:19:03,1784729600,3756187648
15:19:08,1784672256,3755741184
15:19:13,1783971840,3758030848
15:19:18,1783922688,3753664512
15:19:23,1811005440,3835457536
15:19:28,1815953408,3848404992
15:19:33,1840975872,3886436352
15:19:38,1839374336,3885043712
15:19:43,1840369664,3884175360
15:19:48,1841963008,3882049536
15:19:53,1841041408,3881394176
15:19:58,1837166592,3869282304
15:20:03,1837867008,3867607040
15:20:08,1837830144,3867643904
15:20:13,1838354432,3867922432
15:20:18,1837789184,3859705856
15:20:23,1814704128,3794862080
15:20:28,1808097280,3782619136
15:20:33,1808396288,3781812224
15:20:38,1808728064,3782230016
15:20:43,1805520896,3781259264
15:20:48,1806225408,3781779456
15:20:53,1803309056,3765686272
